numeroMuseo	numeroCampo	reino	filum	clase	orden	familia	genero	especie	continente	pais	provincia	canton	parroquia	localidad	localidadVerbatim	fuenteCoordenadas	altitudMax	altitudMin	datum	latitude	longitude	estadoDeterminacion	fechaInicioColeccion	fechaFinColeccion	fechaVerbatim	subespecie	variedad	forma	colector	fechaIdentificacion	tejidos	tipo	cita
QCAZA76446	SC42817	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	elachyhistus		Ecuador	El Oro	Santa Rosa	Bellamaría	Alrededores de Cerro Azul, ~4 km NE de Valle Hermoso	PAIS: Ecuador, PROVINCIA: El Oro, CANTÓN: Santa Rosa, PARROQUIA: Bella María, LOCALIDAD: Valle Hermoso - Cerro Azul. COORDENADAS UTM: 631775,9614435; Zona 17 SUR, WGS 84 ALTURA: 820 msnm	GPS	820	820	WGS 84	-3.487533	-79.813674		2019-10-13T00:00:00						Alex Achig	2019-10-25T00:00:00	1			
QCAZA76447	SC42818	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	elachyhistus		Ecuador	El Oro	Santa Rosa	Bellamaría	Alrededores de Cerro Azul, ~4 km NE de Valle Hermoso	PAIS: Ecuador, PROVINCIA: El Oro, CANTÓN: Santa Rosa, PARROQUIA: Bella María, LOCALIDAD: Valle Hermoso - Cerro Azul. COORDENADAS UTM: 631775,9614435; Zona 17 SUR, WGS 84 ALTURA: 820 msnm	GPS	820	820	WGS 84	-3.487533	-79.813674		2019-10-13T00:00:00						Alex Achig	2019-10-25T00:00:00	1			
QCAZA76466	SC30357	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	jacobuspetersi		Ecuador	Pichincha	Desconocido	Desconocido	Río Pita, cerca de Molinuco (localidad 2)	PICHINCHA, Río Pita, cerca de Molinuco (localidad 2) Coordenadas: -0,410897; -78,407495; 2830m	GPS	2830	2830	Desconocido	-0.410897	-78.40749		2015-10-05T00:00:00						Freddy Almeida 		1			
QCAZA76478	SC30392	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	jacobuspetersi		Ecuador	Pichincha	Desconocido	Desconocido	Río Pita, cerca de Molinuco (localidad 2)	PICHINCHA, Río Pita, cerca de Molinuco (localidad 2) Coordenadas: -0,410897; -78,407495; 2830m	GPS	2830	2830	Desconocido	-0.410897	-78.40749		2015-11-06T00:00:00						Freddy Almeida 		1			
QCAZA76536	SC54508	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	espinosai		Ecuador	Pichincha	San Miguel de los Bancos	San Miguel de los Bancos	Monterreal Rainforest Ecolodge, sendero hacia la cascada.	Provincia: Pichincha Cantón: San Miguel de los Bancos Localidad: Monte-Rreal. Sendero a la cascada de Monterreal. Coordenadas: S00.09040, W078.99104 Altitud: 721 mts	GPS	721	721	WGS 84	-0.09040	-78.99104		2018-11-10T00:00:00						Miryan Rivera	2018-11-13T00:00:00	1			
QCAZA76537	SC54509	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	espinosai		Ecuador	Pichincha	San Miguel de los Bancos	San Miguel de los Bancos	Monterreal Rainforest Ecolodge, sendero hacia la cascada.	Provincia: Pichincha Cantón: San Miguel de los Bancos Localidad: Monte-Rreal. Sendero a la cascada de Monterreal. Coordenadas: S00.09040, W078.99104 Altitud: 721 mts	GPS	721	721	WGS 84	-0.09040	-78.99104		2018-11-10T00:00:00						Miryan Rivera	2018-11-13T00:00:00	1			
QCAZA76538	SC54510	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	espinosai		Ecuador	Pichincha	San Miguel de los Bancos	San Miguel de los Bancos	Monterreal Rainforest Ecolodge, sendero hacia la cascada.	Provincia: Pichincha Cantón: San Miguel de los Bancos Localidad: Monte-Rreal. Sendero a la cascada de Monterreal. Coordenadas: S00.09179, W078.98985 Altitud: 706 mts	GPS	706	706	WGS 84	-0.09179	-78.98985		2018-11-10T00:00:00						Miryan Rivera	2018-11-13T00:00:00	1			
QCAZA76539	SC54525	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	espinosai		Ecuador	Pichincha	San Miguel de los Bancos	San Miguel de los Bancos	Monterreal Rainforest Ecolodge, sendero hacia la Cascada Monterreal.	Provincia: Pichincha Cantón: San Miguel de los Bancos Localidad: Monte-Rreal. Sendero a la Cascada Monte-Rreal. Coordenadas: S00.09133, W078.99033 Altitud: 701 mts	GPS	701	701	WGS 84	-0.09133	-78.99033		2018-11-10T00:00:00						Miryan Rivera	2018-11-13T00:00:00	1			
QCAZA76564	SC65184	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	espinosai		Ecuador	Pichincha	San Miguel de los Bancos	Mindo	Mindo, Hostería Mindo Lago	ECUADOR: Provincia de Pichincha Mindo, Hostería Mindo Lago.	GPS	1547	1547		-0.04843	-78.77399		2018-12-10T00:00:00						Santiago Ron	2018-12-11T00:00:00	1			
QCAZA76589	SC65219	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	espinosai		Ecuador	Pichincha	Puerto Quito	Desconocido	Santuario de Aves Río Silanche (Mindo Cloudforest Foundation)	Salida Río Silanche, Biología de Reptiles 2019 ECUADOR: Pichincha Cantón Puerto Quito Parroquia La Industria (? revisar) Santuario de Aves Río Silanche, Mindo Cloudforest Foundation Coordenadas: 0.14480°N 79.14305°W; 426m	GPS	426	426		0.14480	-79.14305		2019-05-04T00:00:00						Omar Torres	2020-01-17T00:00:00	1			
QCAZA76590	SC65202	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Pichincha	Puerto Quito	Desconocido	Santuario de Aves Río Silanche (Mindo Cloudforest Foundation)	Salida Río Silanche, Biología de Reptiles 2019 ECUADOR: Pichincha Cantón Puerto Quito Parroquia La Industria (? revisar) Santuario de Aves Río Silanche, Mindo Cloudforest Foundation Coordenadas: 00.14569°N 79.14265°W; 404m	GPS	404	404		0.14569	-79.14265		2019-05-03T00:00:00						Omar Torres	2020-01-17T00:00:00	1			
QCAZA76834	SC52885	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	sauli		Ecuador	Napo	Tena	Chontapunta	Campo Yuralpa, Plataformas Chonta - F	Bloque 21 - Yuralpa: Plataformas Chonta - F, Punto de muestreo: H-T7-01_02. COORDENADAS UTM: 232728, 9887865; Zona 18 SUR, WGS 84 ALTURA: 393 msnm	GPS	393	393	WGS 84	-1.013623	-77.401572		2019-04-17T00:00:00						Alex Achig	2020-02-26T00:00:00	1			
QCAZA76835	SC52889	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	sauli		Ecuador	Napo	Tena	Chontapunta	Campo Yuralpa, Plataformas D - E	Bloque 21 - Yuralpa: Plataformas D - E, Punto de muestreo: H-T9-01_02. COORDENADAS UTM: 231736, 9889842; Zona 18 SUR, WGS 84 ALTURA: 340 msnm	GPS	340	340	WGS 84	-0.995745	-77.410467		2019-04-19T00:00:00						Alex Achig	2020-02-26T00:00:00	1			
QCAZA76836	SC52896	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	sauli		Ecuador	Napo	Tena	Chontapunta	Campo Yuralpa, Plataforma G	Bloque 21 - Yuralpa: Plataforma G , Punto de muestreo: H-T3-01_02. COORDENADAS UTM: 233426, 9890038; Zona 18 SUR, WGS 84 ALTURA: 403 msnm	GPS	403	403	WGS 84	-0.993985	-77.395289		2019-04-13T00:00:00						Alex Achig	2020-02-26T00:00:00	1			
QCAZA76837	SC52886	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	yasuni		Ecuador	Napo	Tena	Chontapunta	Campo Yuralpa, Plataformas Chonta - F	Bloque 21 - Yuralpa: Plataformas Chonta - F, Punto de muestreo: H-T7-01_02. COORDENADAS UTM: 232728, 9887865; Zona 18 SUR, WGS 84 ALTURA: 393 msnm	GPS	393	393	WGS 84	-1.013623	-77.401572		2019-04-17T00:00:00						Alex Achig	2020-02-26T00:00:00	1			
QCAZA76838	SC52892	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	yasuni		Ecuador	Napo	Tena	Chontapunta	Campo Yuralpa, Plataformas D - E	Bloque 21 - Yuralpa: Plataformas D - E, Punto de muestreo: H-T9-01_02. COORDENADAS UTM: 231785, 9889711; Zona 18 SUR, WGS 84 ALTURA: 372 msnm	GPS	372	372	WGS 84	-0.996930	-77.410028		2019-04-19T00:00:00						Alex Achig	2020-02-26T00:00:00	1			
QCAZA76920	ASE0031	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Bolívar	Guaranda	Facundo Vela	María Aurora, 7-8 km por carretera ESE de Moraspungo	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: María Aurora	Georreferenciación	648	648	WGS 84	-1.18999	-79.16992		2019-08-10T00:00:00						Analisa Shields		0			
QCAZA76921	ASE0032	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Bolívar	Guaranda	Facundo Vela	María Aurora, 7-8 km por carretera ESE de Moraspungo	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: María Aurora	Georreferenciación	648	648	WGS 84	-1.18999	-79.16992		2019-08-10T00:00:00						Analisa Shields		0			
QCAZA76922	ASE0033	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Bolívar	Guaranda	Facundo Vela	María Aurora, 7-8 km por carretera ESE de Moraspungo	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: María Aurora	Georreferenciación	648	648	WGS 84	-1.18999	-79.16992		2019-08-10T00:00:00						Analisa Shields		0			
QCAZA76923	ASE0034	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Bolívar	Guaranda	Facundo Vela	María Aurora, 7-8 km por carretera ESE de Moraspungo	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: María Aurora	Georreferenciación	648	648	WGS 84	-1.18999	-79.16992		2019-08-10T00:00:00						Analisa Shields		0			
QCAZA76924	ASE0036	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Bolívar	Guaranda	Facundo Vela	María Aurora, 7-8 km por carretera ESE de Moraspungo	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: María Aurora	Georreferenciación	648	648	WGS 84	-1.18999	-79.16992		2019-08-10T00:00:00						Analisa Shields		0			
QCAZA76925	ASE0037	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Bolívar	Guaranda	Facundo Vela	María Aurora, 7-8 km por carretera ESE de Moraspungo	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: María Aurora	Georreferenciación	648	648	WGS 84	-1.18999	-79.16992		2019-08-10T00:00:00						Analisa Shields		0			
QCAZA76926	ASE0038	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Bolívar	Guaranda	Facundo Vela	María Aurora, 7-8 km por carretera ESE de Moraspungo	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: María Aurora	Georreferenciación	648	648	WGS 84	-1.18999	-79.16992		2019-08-10T00:00:00						Analisa Shields		0			
QCAZA76927	ASE0039	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Bolívar	Guaranda	Facundo Vela	María Aurora, 7-8 km por carretera ESE de Moraspungo	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: María Aurora	Georreferenciación	648	648	WGS 84	-1.18999	-79.16992		2019-08-10T00:00:00						Analisa Shields		0			
QCAZA76928	ASE0040	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Bolívar	Guaranda	Facundo Vela	María Aurora, 7-8 km por carretera ESE de Moraspungo	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: María Aurora	Georreferenciación	648	648	WGS 84	-1.18999	-79.16992		2019-08-11T00:00:00						Analisa Shields		0			
QCAZA76929	ASE0041	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Bolívar	Guaranda	Facundo Vela	María Aurora, 7-8 km por carretera ESE de Moraspungo	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: María Aurora	Georreferenciación	648	648	WGS 84	-1.18999	-79.16992		2019-08-11T00:00:00						Analisa Shields		0			
QCAZA76930	ASE0042	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Bolívar	Guaranda	Facundo Vela	María Aurora, 7-8 km por carretera ESE de Moraspungo	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: María Aurora	Georreferenciación	648	648	WGS 84	-1.18999	-79.16992		2019-08-11T00:00:00						Analisa Shields		0			
QCAZA76931	ASE0043	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Bolívar	Guaranda	Facundo Vela	María Aurora, 7-8 km por carretera ESE de Moraspungo	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: María Aurora	Georreferenciación	648	648	WGS 84	-1.18999	-79.16992		2019-08-11T00:00:00						Analisa Shields		0			
QCAZA76932	ASE0044	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Bolívar	Guaranda	Facundo Vela	María Aurora, 7-8 km por carretera ESE de Moraspungo	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: María Aurora	Georreferenciación	648	648	WGS 84	-1.18999	-79.16992		2019-08-11T00:00:00						Analisa Shields		0			
QCAZA76933	ASE0045	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Bolívar	Guaranda	Facundo Vela	María Aurora, 7-8 km por carretera ESE de Moraspungo	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: María Aurora	Georreferenciación	648	648	WGS 84	-1.18999	-79.16992		2019-08-11T00:00:00						Analisa Shields		0			
QCAZA76934	ASE0046	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Bolívar	Guaranda	Facundo Vela	María Aurora, 7-8 km por carretera ESE de Moraspungo	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: María Aurora	Georreferenciación	648	648	WGS 84	-1.18999	-79.16992		2019-08-11T00:00:00						Analisa Shields		0			
QCAZA76935	ASE0016	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Cotopaxi	Pangua	Moraspungo	Los Libertadores, camino paralelo al N de la vía principal Moraspungo-El Corazón	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: Quebrada Libertadores	Georreferenciación	480	480	WGS 84	-1.15312	-79.19527		2019-08-09T00:00:00						Analisa Shields		0			
QCAZA76936	ASE0017	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Cotopaxi	Pangua	Moraspungo	Los Libertadores, camino paralelo al N de la vía principal Moraspungo-El Corazón	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: Quebrada Libertadores	Georreferenciación	480	480	WGS 84	-1.15312	-79.19527		2019-08-09T00:00:00						Analisa Shields		0			
QCAZA76937	ASE0018	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Cotopaxi	Pangua	Moraspungo	Los Libertadores, camino paralelo al N de la vía principal Moraspungo-El Corazón	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: Quebrada Libertadores	Georreferenciación	480	480	WGS 84	-1.15312	-79.19527		2019-08-09T00:00:00						Analisa Shields		0			
QCAZA76938	ASE0019	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Cotopaxi	Pangua	Moraspungo	Los Libertadores, camino paralelo al N de la vía principal Moraspungo-El Corazón	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: Quebrada Libertadores	Georreferenciación	480	480	WGS 84	-1.15312	-79.19527		2019-08-09T00:00:00						Analisa Shields		0			
QCAZA76939	ASE0020	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Cotopaxi	Pangua	Moraspungo	Los Libertadores, camino paralelo al N de la vía principal Moraspungo-El Corazón	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: Quebrada Libertadores	Georreferenciación	480	480	WGS 84	-1.15312	-79.19527		2019-08-09T00:00:00						Analisa Shields		0			
QCAZA76940	ASE0021	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Cotopaxi	Pangua	Moraspungo	Los Libertadores, camino paralelo al N de la vía principal Moraspungo-El Corazón	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: Quebrada Libertadores	Georreferenciación	480	480	WGS 84	-1.15312	-79.19527		2019-08-09T00:00:00						Analisa Shields		0			
QCAZA76941	ASE0022	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Cotopaxi	Pangua	Moraspungo	Los Libertadores, camino paralelo al N de la vía principal Moraspungo-El Corazón	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: Quebrada Libertadores	Georreferenciación	480	480	WGS 84	-1.15312	-79.19527		2019-08-09T00:00:00						Analisa Shields		0			
QCAZA76942	ASE0023	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Cotopaxi	Pangua	Moraspungo	Los Libertadores, camino paralelo al N de la vía principal Moraspungo-El Corazón	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: Quebrada Libertadores	Georreferenciación	480	480	WGS 84	-1.15312	-79.19527		2019-08-10T00:00:00						Analisa Shields		0			
QCAZA76943	ASE0024	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Cotopaxi	Pangua	Moraspungo	Los Libertadores, camino paralelo al N de la vía principal Moraspungo-El Corazón	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: Quebrada Libertadores	Georreferenciación	480	480	WGS 84	-1.15312	-79.19527		2019-08-10T00:00:00						Analisa Shields		0			
QCAZA76944	ASE0025	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Cotopaxi	Pangua	Moraspungo	Los Libertadores, camino paralelo al N de la vía principal Moraspungo-El Corazón	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: Quebrada Libertadores	Georreferenciación	480	480	WGS 84	-1.15312	-79.19527		2019-08-10T00:00:00						Analisa Shields		0			
QCAZA76945	ASE0026	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Cotopaxi	Pangua	Moraspungo	Los Libertadores, camino paralelo al N de la vía principal Moraspungo-El Corazón	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: Quebrada Libertadores	Georreferenciación	480	480	WGS 84	-1.15312	-79.19527		2019-08-10T00:00:00						Analisa Shields		0			
QCAZA76946	ASE0027	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Cotopaxi	Pangua	Moraspungo	Los Libertadores, camino paralelo al N de la vía principal Moraspungo-El Corazón	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: Quebrada Libertadores	Georreferenciación	480	480	WGS 84	-1.15312	-79.19527		2019-08-10T00:00:00						Analisa Shields		0			
QCAZA76947	ASE0028	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Cotopaxi	Pangua	Moraspungo	Los Libertadores, camino paralelo al N de la vía principal Moraspungo-El Corazón	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: Quebrada Libertadores	Georreferenciación	480	480	WGS 84	-1.15312	-79.19527		2019-08-10T00:00:00						Analisa Shields		0			
QCAZA76948	ASE0029	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Cotopaxi	Pangua	Moraspungo	Los Libertadores, camino paralelo al N de la vía principal Moraspungo-El Corazón	PROVINCIA: Cotopaxi, Bolívar; CANTÓN: Pangua; PARROQUIA: Moraspungo; LOCALIDAD: Quebrada Libertadores	Georreferenciación	480	480	WGS 84	-1.15312	-79.19527		2019-08-10T00:00:00						Analisa Shields		0			
QCAZA76949	ASE0113	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Guayas	Naranjal	Naranjal	Alrededores de Recinto 6 de Julio y vía de acceso desde la carretera principal, ~10 km S de Naranjal	PROVINCIA: Guayas; CANTÓN: Naranjal; PARROQUIA: Taura, Naranjal; LOCALIDAD: "6 de Julio" plantación de banano	Georreferenciación	23	23	WGS 84	-2.74345	-79.68249		2019-08-22T00:00:00						Analisa Shields		0			
QCAZA76950	ASE0114	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Guayas	Naranjal	Naranjal	Alrededores de Recinto 6 de Julio y vía de acceso desde la carretera principal, ~10 km S de Naranjal	PROVINCIA: Guayas; CANTÓN: Naranjal; PARROQUIA: Taura, Naranjal; LOCALIDAD: "6 de Julio" plantación de banano	Georreferenciación	23	23	WGS 84	-2.74345	-79.68249		2019-08-22T00:00:00						Analisa Shields		0			
QCAZA76951	ASE0115	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Guayas	Naranjal	Naranjal	Alrededores de Recinto 6 de Julio y vía de acceso desde la carretera principal, ~10 km S de Naranjal	PROVINCIA: Guayas; CANTÓN: Naranjal; PARROQUIA: Taura, Naranjal; LOCALIDAD: "6 de Julio" plantación de banano	Georreferenciación	23	23	WGS 84	-2.74345	-79.68249		2019-08-22T00:00:00						Analisa Shields		0			
QCAZA76952	ASE0116	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Guayas	Naranjal	Naranjal	Alrededores de Recinto 6 de Julio y vía de acceso desde la carretera principal, ~10 km S de Naranjal	PROVINCIA: Guayas; CANTÓN: Naranjal; PARROQUIA: Taura, Naranjal; LOCALIDAD: "6 de Julio" plantación de banano	Georreferenciación	23	23	WGS 84	-2.74345	-79.68249		2019-08-22T00:00:00						Analisa Shields		0			
QCAZA76953	ASE0117	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Guayas	Naranjal	Naranjal	Alrededores de Recinto 6 de Julio y vía de acceso desde la carretera principal, ~10 km S de Naranjal	PROVINCIA: Guayas; CANTÓN: Naranjal; PARROQUIA: Taura, Naranjal; LOCALIDAD: "6 de Julio" plantación de banano	Georreferenciación	23	23	WGS 84	-2.74345	-79.68249		2019-08-22T00:00:00						Analisa Shields		0			
QCAZA76954	ASE0118	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Guayas	Naranjal	Naranjal	Alrededores de Recinto 6 de Julio y vía de acceso desde la carretera principal, ~10 km S de Naranjal	PROVINCIA: Guayas; CANTÓN: Naranjal; PARROQUIA: Taura, Naranjal; LOCALIDAD: "6 de Julio" plantación de banano	Georreferenciación	23	23	WGS 84	-2.74345	-79.68249		2019-08-22T00:00:00						Analisa Shields		0			
QCAZA76955	ASE0119	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Guayas	Naranjal	Naranjal	Alrededores de Recinto 6 de Julio y vía de acceso desde la carretera principal, ~10 km S de Naranjal	PROVINCIA: Guayas; CANTÓN: Naranjal; PARROQUIA: Taura, Naranjal; LOCALIDAD: "6 de Julio" plantación de banano	Georreferenciación	23	23	WGS 84	-2.74345	-79.68249		2019-08-22T00:00:00						Analisa Shields		0			
QCAZA76956	ASE0120	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Guayas	Naranjal	Naranjal	Alrededores de Recinto 6 de Julio y vía de acceso desde la carretera principal, ~10 km S de Naranjal	PROVINCIA: Guayas; CANTÓN: Naranjal; PARROQUIA: Taura, Naranjal; LOCALIDAD: "6 de Julio" plantación de banano	Georreferenciación	23	23	WGS 84	-2.74345	-79.68249		2019-08-22T00:00:00						Analisa Shields		0			
QCAZA76957	ASE0121	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Guayas	Naranjal	Naranjal	Alrededores de Recinto 6 de Julio y vía de acceso desde la carretera principal, ~10 km S de Naranjal	PROVINCIA: Guayas; CANTÓN: Naranjal; PARROQUIA: Taura, Naranjal; LOCALIDAD: "6 de Julio" plantación de banano	Georreferenciación	23	23	WGS 84	-2.74345	-79.68249		2019-08-22T00:00:00						Analisa Shields		0			
QCAZA76958	ASE0122	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Guayas	Naranjal	Naranjal	Alrededores de Recinto 6 de Julio y vía de acceso desde la carretera principal, ~10 km S de Naranjal	PROVINCIA: Guayas; CANTÓN: Naranjal; PARROQUIA: Taura, Naranjal; LOCALIDAD: "6 de Julio" plantación de banano	Georreferenciación	23	23	WGS 84	-2.74345	-79.68249		2019-08-22T00:00:00						Analisa Shields		0			
QCAZA76959	ASE0123	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Guayas	Naranjal	Naranjal	Alrededores de Recinto 6 de Julio y vía de acceso desde la carretera principal, ~10 km S de Naranjal	PROVINCIA: Guayas; CANTÓN: Naranjal; PARROQUIA: Taura, Naranjal; LOCALIDAD: "6 de Julio" plantación de banano	Georreferenciación	23	23	WGS 84	-2.74345	-79.68249		2019-08-22T00:00:00						Analisa Shields		0			
QCAZA76960	ASE0124	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Guayas	Naranjal	Naranjal	Alrededores de Recinto 6 de Julio y vía de acceso desde la carretera principal, ~10 km S de Naranjal	PROVINCIA: Guayas; CANTÓN: Naranjal; PARROQUIA: Taura, Naranjal; LOCALIDAD: "6 de Julio" plantación de banano	Georreferenciación	23	23	WGS 84	-2.74345	-79.68249		2019-08-22T00:00:00						Analisa Shields		0			
