numeroMuseo	numeroCampo	reino	filum	clase	orden	familia	genero	especie	continente	pais	provincia	canton	parroquia	localidad	localidadVerbatim	fuenteCoordenadas	altitudMax	altitudMin	datum	latitude	longitude	estadoDeterminacion	fechaInicioColeccion	fechaFinColeccion	fechaVerbatim	subespecie	variedad	forma	colector	fechaIdentificacion	tejidos	tipo	cita
QCAZA10260		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	bocagei		Ecuador	Sucumbíos	Desconocido	Desconocido	Entre Andes de Cascabel y carretera 	ECUADOR: Sucumbíos: Entre Andes de Cascabel y carretera. Metamorfoseados en laboratorio, terrario 42, hoja 1  Información Ecológica: Renacuajos cpñectados en riachuelo 	Información insuficiente o imprecisa para georeferenciación			WGS 84				1996-12-22T00:00:00	1996-12-22T00:00:00					Andrés Vallejo	2010-12-03T00:00:00	0			
QCAZA10272		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	boulengeri		Ecuador	Esmeraldas	Desconocido	Desconocido	Corriente Grande Río Cayapas	ECUADOR: Esmeraldas: Corriente Grande. Río Bravo.  Altitud: 70msnm - Información Ecológica: Quebrada del afluente de Río Bravo, paredes laterales de quebrada entre hojarasca piedra.	Georreferenciación	70	70	WGS 84	0.6895289	-78.95894		1996-11-05T00:00:00	1996-11-05T00:00:00					Néstor Acosta		0			
QCAZA10273		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Esmeraldas	Desconocido	Desconocido	Corriente Grande, Río Bravo 	ECUADOR: Esmeraldas: Corriente Grande, Río Bravo.  Altitud: 70msnm - Información Ecológica: Entre piedras cantando, bosque primario, cerca al salto Bravo	Georreferenciación	70	70	WGS 84	0.6895289	-78.95894		1996-11-15T00:00:00	1996-11-15T00:00:00					Néstor Acosta		0			
QCAZA103		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	sylvatica		Ecuador	Esmeraldas	Desconocido	Desconocido	La Boca	ECUADOR: Esmeraldas: La Boca.   	Georreferenciación			WGS 84	1.133	-78.77400		1985-06-01T00:00:00	1985-06-01T00:00:00					Giovanni Onore		0			
QCAZA10315		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	bocagei		Ecuador	Sucumbíos	Desconocido	Desconocido	Entre Andes de Cascabel y carretera 	ECUADOR: Sucumbíos: Entre Andes de Cascabel y carretera. Metamorfoseados en laboratorio, terrario 42, hoja 1.  Información Ecológica: Renacuajos colectados en riachuelo	Información insuficiente o imprecisa para georeferenciación			WGS 84				1996-12-22T00:00:00	1996-12-22T00:00:00					Andrés Vallejo	2010-12-03T00:00:00	0			
QCAZA10316		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	bocagei		Ecuador	Sucumbíos	Desconocido	Desconocido	Entre Andes de Cascabel y carretera	ECUADOR: Sucumbíos: Entre Andes de Cascabel y carretera. Metamorfoseados en laboratorio, terrario 42, hoja 1.  Información Ecológica: Renacuajos colectados en riachuelo	Información insuficiente o imprecisa para georeferenciación			WGS 84				1996-12-22T00:00:00	1996-12-22T00:00:00					Andrés Vallejo	2010-12-03T00:00:00	0			
QCAZA10328	CDC7	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	bocagei		Ecuador	Sucumbíos	Desconocido	Desconocido	Río Reventador	ECUADOR: Sucumbíos: Río Reventador. Preservado el 13 de enero de 1997, mantenido en laboratorio terrario 42. Altitud: 1500msnm - Información Ecológica: Colectado cerca de río.	Información insuficiente o imprecisa para georeferenciación	1500	1500	Desconocido				1996-11-23T00:00:00	1996-11-23T00:00:00					Jorge Izquierdo	2010-12-03T00:00:00	0			
QCAZA10329		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	La localidad de los padres es Río Ayampe 	ECUADOR: Sucumbíos: Río Ayampe. Datos de colección de los padres; los renacuajos nacieron en cautiverio, terrario 1, hojas 1 y 2.  	Georreferenciación	0	0	WGS 84	-1.673243	-80.80935		1996-06-22T00:00:00	1996-06-22T00:00:00					Nacido en cautiverio		0			
QCAZA10330	R36	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	boulengeri		Ecuador	Esmeraldas	Desconocido	Desconocido	Eloy Alfaro, NE de comunidad Zapote, riachuelo afluente a río Gasparito	ECUADOR: Esmeraldas: Eloy Alfaro, NE de comunidad Zapote, riachuelo afluente a río Gasparito. Mantenidos en laboratorio, terrario 24, hoja 1. Altitud: 100msnm - Información Ecológica: Colectados en pozas afluentes al río. 	Georreferenciación	100	100	WGS 84	0.9129599	-78.84066		1996-09-24T00:00:00	1996-09-24T00:00:00					Néstor Acosta		0			
QCAZA10331		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Cabo Pasado 	ECUADOR: Manabí: Cabo Pasado. Datos de colección de los padres. Renacuajos en diferentes estadios, naciods en laboratorio en terrario 8. Altitud: 15msnm - 	Georreferenciación	15	15	WGS 84	-0.368999	-80.48900		1996-08-03T00:00:00	1996-08-03T00:00:00					Nacido en cautiverio		0			
QCAZA10346		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	anthonyi		Ecuador	El Oro	Desconocido	Desconocido	El Progreso, km 15 vía Pasaje - Pan de Azúcar	ECUADOR: El Oro: El Progreso, Km 15 vía Pasaje - Pan de Azúcar.  Altitud: 90msnm - Información Ecológica: En hojarasca de cacaotera	Georreferenciación	90	90	WGS 84	-3.288330	-79.75812		1996-10-27T00:00:00	1996-10-27T00:00:00					Néstor Acosta		0			
